label,text
phishing,"URGENT: Your account has been suspended! Click here immediately to verify your identity: http://secure-paypal-login.xyz/verify?id=928312"
phishing,"Congratulations! You have been selected to receive a $1000 Walmart gift card. Claim your prize now at http://free-rewards.tk/claim"
phishing,"Dear Customer, Your bank account will be CLOSED in 24 hours. Please update your information at http://bank-secure-login.ml/update"
phishing,"ACTION REQUIRED: Suspicious login detected on your Google account. Verify now: http://accounts-google.cf/security/verify"
phishing,"Your Netflix subscription has expired. Update payment details immediately: http://netflix-billing-update.gq/pay"
phishing,"IRS NOTICE: You owe $3,200 in back taxes. Avoid legal action - pay now: http://irs-payment-portal.xyz/urgent"
phishing,"Dear user, Your password expires today! Reset it immediately: http://password-reset.tk/secure?token=expire123"
phishing,"ALERT: Your Amazon account shows unusual activity. Verify your identity: http://amaz0n-support.ml/verify?user=urgent"
phishing,"Win a FREE iPhone 15! You are our lucky winner. Claim here: http://free-iphone-winner.ga/claim?prize=iphone15"
phishing,"Your PayPal account has been limited. Restore access now: http://paypal-restore.tk/appeal?id=customer"
phishing,"MICROSOFT SECURITY ALERT: Virus detected on your computer! Call +1-800-123-4567 or visit http://ms-support.xyz/remove"
phishing,"You have a pending refund of $499.99. Confirm your bank account details: http://refund-claim.ml/process"
phishing,"Your DHL delivery failed! Reschedule at: http://dhl-missed-delivery.cf/redeliver?pkg=292812"
phishing,"Verify your email address within 24 hours or your account will be deleted: http://email-verify.tk/now"
phishing,"Dear valued customer, Your credit card was charged $299. If not you, cancel here: http://fraud-cancel.xyz/stop"
phishing,"FINAL NOTICE: Your Social Security Number has been suspended. Call us immediately: +1-888-555-0123"
phishing,"Congratulations! You won the 2024 lottery! Claim your $500,000 prize: http://lottery-winner.ml/claim"
phishing,"Your account password will expire in 2 hours. Click here to update: http://account-update.tk/password"
phishing,"URGENT: Your Apple ID has been locked. Unlock at: http://appleid-unlock.xyz/verify?token=locked"
phishing,"Dear Customer, We noticed unauthorized access on your account. Confirm your details: http://secure-bank.cf/confirm"
phishing,"Your package from FedEx is on hold. Pay $2.50 customs fee: http://fedex-customs.ml/pay?pkg=FX29182"
phishing,"Investment opportunity! Make $5000/week from home. Click here: http://easy-money.tk/invest?ref=email"
phishing,"Your WhatsApp will be deactivated! Verify your phone number: http://whatsapp-verify.ga/phone"
